No,Date,Year,Language Group,Speech/Event,Interaction Type,Field Domain,Field,Tenor,Mode,Opening Evidence,Word Count,File Path
001,2024-10-20,2024,English,"Jamuan Santap Malam Resmi untuk Pemimpin Negara dan Utusan Khusus, 20 Oktober 2024",Ceremonial / policy address,International diplomacy and strategic partnership,"Bilateral or multilateral diplomacy, foreign relations, and strategic cooperation; activity type—ceremonial / policy address; institutional setting—presidential/state discourse.","Participants—President Prabowo Subianto and foreign leaders/diplomatic or international elites; relationship—formally equal sovereign actors, high mutual respect; social proximity—distant to moderately close, protocol-bound.","Language role—primary/informational, ceremonial, and persuasive; channel—voice/sound; medium—spoken transcript; register—formal to semi-formal; language—English; genre—prepared presidential speech/address.","Your presence here not only is a great honor for me personally, but more important it is a great honor for my people and my country. The fact that you have made the effort to travel many many miles to leave your importa...",177,"/Users/sastrajendra/Documents/Currents/Research Papers/Prabowo's Speeches/English/001 - President Speech - 2024-10-20 - Jamuan Santap Malam Resmi untuk Pemimpin Negara dan Utusan Khusus, 20 Oktober 2024.txt"
002,2024-10-20,2024,Bahasa Indonesia,Pengumuman Menteri Negara Kabinet Merah Putih,Presidential address,Cabinet and executive governance,"Cabinet coordination, government formation, budgeting, regulation, or executive decision-making; activity type—presidential address; institutional setting—presidential/state discourse.",Participants—President and citizens/sectoral public audience; relationship—asymmetrical national leadership with persuasive solidarity; social proximity—public but affectively inclusive.,"Language role—primary/informational, ceremonial, and persuasive; channel—voice/sound; medium—spoken transcript; register—formal; language—Bahasa Indonesia; genre—prepared presidential speech/address.","Bismillahirrahmanirrahim. Assalamu’alaikum warahmatullahi wabarakatuh, Salam sejahtera bagi kita sekalian, Syalom, Om swastiastu, Namo buddhaya, Salam kebajikan. Selamat malam Saudara-saudara sekalian, Sebagaimana telah...",1293,/Users/sastrajendra/Documents/Currents/Research Papers/Prabowo's Speeches/Bahasa Indonesia/002 - President Speech - 2024-10-20 - Pengumuman Menteri Negara Kabinet Merah Putih.txt
003,2024-10-20,2024,Bahasa Indonesia,Sidang Paripurna MPR RI dalam rangka Pelantikan Presiden dan Wakil Presiden RI Terpilih Periode 2024-2029,Presidential address,General presidential communication,"State leadership, public accountability, and national direction; activity type—presidential address; institutional setting—presidential/state discourse.",Participants—President and citizens/sectoral public audience; relationship—asymmetrical national leadership with persuasive solidarity; social proximity—public but affectively inclusive.,"Language role—primary/informational, ceremonial, and persuasive; channel—voice/sound; medium—spoken transcript; register—formal; language—Bahasa Indonesia; genre—prepared presidential speech/address.","Bismillahirahmanirahim. Assalamu’alaikum warahmatullahi wabarakatuh, Salam sejahtera untuk kita sekalian, Syalom, Om Swastiastu, Namo Buddhaya, Salam Kebajikan, Rahayu, Rahayu. Yang saya hormati dan yang saya muliakan,...",3911,/Users/sastrajendra/Documents/Currents/Research Papers/Prabowo's Speeches/Bahasa Indonesia/003 - President Speech - 2024-10-20 - Sidang Paripurna MPR RI dalam rangka Pelantikan Presiden dan Wakil Presiden RI Terpilih Periode 2024-2029.txt
004,2024-10-23,2024,Bahasa Indonesia,Sidang Kabinet Paripurna,Cabinet/executive briefing,Cabinet and executive governance,"Cabinet coordination, government formation, budgeting, regulation, or executive decision-making; activity type—cabinet/executive briefing; institutional setting—presidential/state discourse.","Participants—President as head of government and ministers/senior officials as institutional subordinates; relationship—hierarchical and directive; social proximity—professional, relatively close within government.",Language role—primary/instructional and policy-orienting; channel—voice/sound; medium—spoken transcript; register—formal; language—Bahasa Indonesia; genre—executive directive/briefing.,"Bismillahirrahmanirrahim. Assalamu’alaikum Warahmatullahi Wabarakatuh, Selamat siang, Salam sejahtera bagi kita sekalian, Syalom, Om Swastiastu, Namo Buddhaya, Salam Kebajikan, Rahayu rahayu. Saudara-saudara sekalian, p...",1664,/Users/sastrajendra/Documents/Currents/Research Papers/Prabowo's Speeches/Bahasa Indonesia/004 - President Speech - 2024-10-23 - Sidang Kabinet Paripurna.txt
005,2024-10-25,2024,Bahasa Indonesia,"Jamuan Santap Malam Kabinet Merah Putih di Ruang Makan Husein, Komplek Akademi Militer (Akmil)",Ceremonial / policy address,"Defence, security, law, and public order","Defence institutions, police/military, law enforcement, corruption, narcotics, or security; activity type—ceremonial / policy address; institutional setting—presidential/state discourse.",Participants—President and citizens/sectoral public audience; relationship—asymmetrical national leadership with persuasive solidarity; social proximity—public but affectively inclusive.,"Language role—primary/informational, ceremonial, and persuasive; channel—voice/sound; medium—spoken transcript; register—formal; language—Bahasa Indonesia; genre—prepared presidential speech/address.","Saudara-saudara sekalian, Wakil Presiden Republik Indonesia yang saya hormati, Para Menteri Koordinator yang saya hormati, Para Menteri dan Wakil Menteri Kabinet Merah Putih yang saya hormati, saya banggakan, Para Kepal...",796,"/Users/sastrajendra/Documents/Currents/Research Papers/Prabowo's Speeches/Bahasa Indonesia/005 - President Speech - 2024-10-25 - Jamuan Santap Malam Kabinet Merah Putih di Ruang Makan Husein, Komplek Akademi Militer (Akmil).txt"
006,2024-11-05,2024,Bahasa Indonesia,Penandatanganan Peraturan Pemerintah (PP) Nomor 47 Tahun 2024 tentang Penghapusan Piutang Macet Kepada,Presidential address,Cabinet and executive governance,"Cabinet coordination, government formation, budgeting, regulation, or executive decision-making; activity type—presidential address; institutional setting—presidential/state discourse.",Participants—President and citizens/sectoral public audience; relationship—asymmetrical national leadership with persuasive solidarity; social proximity—public but affectively inclusive.,"Language role—primary/informational, ceremonial, and persuasive; channel—voice/sound; medium—spoken transcript; register—formal; language—Bahasa Indonesia; genre—prepared presidential speech/address.","Saudara-saudaraku sebangsa dan setanah air di mana pun engkau berada; Para Menteri Kabinet Merah Putih yang hadir, Jaksa Agung, Panglima TNI, Kapolri, KaBIN yang hadir; Perwakilan organisasi tani dan nelayan yang hadir;...",213,/Users/sastrajendra/Documents/Currents/Research Papers/Prabowo's Speeches/Bahasa Indonesia/006 - President Speech - 2024-11-05 - Penandatanganan Peraturan Pemerintah (PP) Nomor 47 Tahun 2024 tentang Penghapusan Piutang Macet Kepada.txt
007,2024-11-06,2024,Bahasa Indonesia,"pada Kunjungan Perdana Menteri Singapura Lawrence Wong, 6 November 2024",Diplomatic exchange / joint statement,International diplomacy and strategic partnership,"Bilateral or multilateral diplomacy, foreign relations, and strategic cooperation; activity type—diplomatic exchange / joint statement; institutional setting—presidential/state discourse.","Participants—President Prabowo Subianto and foreign leaders/diplomatic or international elites; relationship—formally equal sovereign actors, high mutual respect; social proximity—distant to moderately close, protocol-bound.",Language role—primary/ceremonial and persuasive; channel—voice/sound; medium—spoken transcript; register—formal; language—Bahasa Indonesia; genre—diplomatic address or joint statement.,Perdana Menteri Lawrence Wong yang saya hormati dan yang saya muliakan; Delegasi dari Singapura; Saudara sekalian para Menteri Kabinet Merah Putih; Saudara-saudaraku sebangsa dan setanah air; Rekan-rekan media yang saya...,589,"/Users/sastrajendra/Documents/Currents/Research Papers/Prabowo's Speeches/Bahasa Indonesia/007 - President Speech - 2024-11-06 - pada Kunjungan Perdana Menteri Singapura Lawrence Wong, 6 November 2024.txt"
008,2024-11-06,2024,Bahasa Indonesia,Sidang Kabinet Paripurna,Cabinet/executive briefing,Cabinet and executive governance,"Cabinet coordination, government formation, budgeting, regulation, or executive decision-making; activity type—cabinet/executive briefing; institutional setting—presidential/state discourse.","Participants—President as head of government and ministers/senior officials as institutional subordinates; relationship—hierarchical and directive; social proximity—professional, relatively close within government.","Language role—primary/instructional and policy-orienting; channel—voice/sound; medium—spoken transcript; register—semi-formal, partly spontaneous; language—Bahasa Indonesia; genre—executive directive/briefing.","Bismillahirrahmanirrahim. Assalamu’alaikum warahmatullahi wabarakatuh Selamat sore, Salam sejahtera bagi kita sekalian, Syalom, Om Swastiastu, Namo buddhaya, Salam kebajikan Rahayu rahayu. Yang saya hormati Saudara Waki...",404,/Users/sastrajendra/Documents/Currents/Research Papers/Prabowo's Speeches/Bahasa Indonesia/008 - President Speech - 2024-11-06 - Sidang Kabinet Paripurna.txt
009,2024-11-08,2024,Bahasa Indonesia,"Keberangkatan Kunjungan Kerja Presiden ke Beijing, Republik Rakyat Tiongkok",Presidential address,International diplomacy and strategic partnership,"Bilateral or multilateral diplomacy, foreign relations, and strategic cooperation; activity type—presidential address; institutional setting—presidential/state discourse.","Participants—President Prabowo Subianto and foreign leaders/diplomatic or international elites; relationship—formally equal sovereign actors, high mutual respect; social proximity—distant to moderately close, protocol-bound.","Language role—primary/informational, ceremonial, and persuasive; channel—voice/sound; medium—spoken transcript; register—formal; language—Bahasa Indonesia; genre—prepared presidential speech/address.","Bismillahirrahmanirrahim Assalamu’alaikum warahmatullahi wabarakatuh Salam sejahtera bagi kita sekalian , Syalom, Om Swastiastu, Namo Buddhaya, Saudara-saudara sekalian, Saudara-saudara sebangsa dan setanah air di manau...",387,"/Users/sastrajendra/Documents/Currents/Research Papers/Prabowo's Speeches/Bahasa Indonesia/009 - President Speech - 2024-11-08 - Keberangkatan Kunjungan Kerja Presiden ke Beijing, Republik Rakyat Tiongkok.txt"
010,2024-11-09,2024,English,Pertemuan Bilateral Presiden RI dengan Ketua Kongres Rakyat Nasional RRT,Diplomatic exchange / joint statement,International diplomacy and strategic partnership,"Bilateral or multilateral diplomacy, foreign relations, and strategic cooperation; activity type—diplomatic exchange / joint statement; institutional setting—presidential/state discourse.","Participants—President Prabowo Subianto and foreign leaders/diplomatic or international elites; relationship—formally equal sovereign actors, high mutual respect; social proximity—distant to moderately close, protocol-bound.",Language role—primary/ceremonial and persuasive; channel—voice/sound; medium—spoken transcript; register—formal; language—English; genre—diplomatic address or joint statement.,"Thank you very much, Your Excellency, for your kind remarks. I, first of all, thank you very much, Your Excellency the Chairman of the National People’s Congress Standing Committee and all Distinguished Members of the N...",291,/Users/sastrajendra/Documents/Currents/Research Papers/Prabowo's Speeches/English/010 - President Speech - 2024-11-09 - Pertemuan Bilateral Presiden RI dengan Ketua Kongres Rakyat Nasional RRT.txt
